gen,time,Terre,x_1,y_1,z_1,vx_1,vy_1,vz_1,ax_1,ay_1,az_1,Soleil,x_2,y_2,z_2,vx_2,vy_2,vz_2,ax_2,ay_2,az_2,Body3,x_3,y_3,z_3,vx_3,vy_3,vz_3,ax_3,ay_3,az_3
66,501187.5,,-8.18016649952076e+17,2.7249284969938135e+20,0.0,-90.09033236695014,29783.0,0.0,4.075598179898528e-20,-1.3576349912291758e-17,0.0,,2456394522000.8716,0.001201489805417301,0.0,0.0002705291615443131,1.433267355895738e-19,0.0,-1.223847364563567e-25,4.0767954364345024e-23,0.0,,-1.1858645872285338e+18,2.8184340848770925e+20,0.0,-130.60238906626958,30805.0,0.0,5.475380605773828e-20,-1.2724840313164696e-17,0.0
68,516375.0,,-8.42994262152075e+17,2.8075020878118076e+20,0.0,-90.09033236695014,29783.0,0.0,3.8402447197441825e-20,-1.2789485263608742e-17,0.0,,2531398934886.394,0.001241244204747206,0.0,0.0002705291615443131,1.4340827149830248e-19,0.0,-1.1531738832151224e-25,3.8405105565097285e-23,0.0,,-1.2220741975250473e+18,2.9038411783582165e+20,0.0,-130.60238906626958,30805.0,0.0,5.159193775889878e-20,-1.1987327765635178e-17,0.0
70,531562.5,,-8.67971874352074e+17,2.8900756786298018e+20,0.0,-90.09033236695014,29783.0,0.0,3.624704026543564e-20,-1.2069097861296348e-17,0.0,,2606403347771.9165,0.0012810202273165411,0.0,0.0002705291615443131,1.4348508170943268e-19,0.0,-1.0884499095341965e-25,3.6241879003329687e-23,0.0,,-1.2582838078215608e+18,2.989248271839341e+20,0.0,-130.60238906626958,30805.0,0.0,4.869624524796323e-20,-1.1312123024265535e-17,0.0
72,546750.0,,-8.92949486552073e+17,2.972649269447796e+20,0.0,-90.09033236695014,29783.0,0.0,3.426813096080929e-20,-1.1407904938372163e-17,0.0,,2681407760657.439,0.0013208166459402263,0.0,0.0002705291615443131,1.4355756546743934e-19,0.0,-1.0290259224217684e-25,3.425640550846963e-23,0.0,,-1.2944934181180744e+18,3.0746553653204654e+20,0.0,-130.60238906626958,30805.0,0.0,4.6037669502163507e-20,-1.0692400094926722e-17,0.0
74,561937.5,,-9.17927098752072e+17,3.0552228602657905e+20,0.0,-90.09033236695014,29783.0,0.0,3.2446962368064696e-20,-1.0799594393338177e-17,0.0,,2756412173542.9614,0.0013606323350291456,0.0,0.0002705291615443131,1.436260782784563e-19,0.0,-9.743386769114196e-26,3.2429730687953814e-23,0.0,,-1.330703028414588e+18,3.16006245880159e+20,0.0,-130.60238906626958,30805.0,0.0,4.359101142161136e-20,-1.0122242769257153e-17,0.0
76,577125.0,,-9.429047109520709e+17,3.137796451083785e+20,0.0,-90.09033236695014,29783.0,0.0,3.076720461341169e-20,-1.0238673582270087e-17,0.0,,2831416586428.484,0.0014004662596758459,0.0,0.0002705291615443131,1.4369093773983223e-19,0.0,-9.238978088377057e-26,3.0745360870192164e-23,0.0,,-1.3669126387111014e+18,3.245469552282715e+20,0.0,-130.60238906626958,30805.0,0.0,4.1334332532939174e-20,-9.596502900428764e-18,0.0
78,592312.5,,-9.678823231520699e+17,3.220370041901779e+20,0.0,-90.09033236695014,29783.0,0.0,2.921458753958263e-20,-9.720344894661532e-18,0.0,,2906420999314.0063,0.0014403174661676529,0.0,0.0002705291615443131,1.4375242846157263e-19,0.0,-8.77274804554457e-26,2.9188889475548407e-23,0.0,,-1.403122249007615e+18,3.3308766457638394e+20,0.0,-130.60238906626958,30805.0,0.0,3.924846150342195e-20,-9.110683782808579e-18,0.0
80,607500.0,,-9.928599353520689e+17,3.302943632719773e+20,0.0,-90.09033236695014,29783.0,0.0,2.7776596640156557e-20,-9.240402825095355e-18,0.0,,2981425412199.529,0.0014801850737088775,0.0,0.0002705291615443131,1.4381080624052373e-19,0.0,-8.340938702511443e-26,2.774768793640066e-23,0.0,,-1.4393318593041285e+18,3.416283739244964e+20,0.0,-130.60238906626958,30805.0,0.0,3.7316585641618855e-20,-8.660843679242914e-18,0.0
82,622687.5,,-1.0178375475520678e+18,3.385517223537767e+20,0.0,-90.09033236695014,29783.0,0.0,2.6442220102377487e-20,-8.795148398969563e-18,0.0,,3056429825085.0513,0.0015200682671717776,0.0,0.0002705291615443131,1.4386630161639652e-19,0.0,-7.940243359886419e-26,2.6410648729096176e-23,0.0,,-1.475541469600642e+18,3.501690832726089e+20,0.0,-130.60238906626958,30805.0,0.0,3.5523911060143224e-20,-8.243515613960487e-18,0.0
84,637875.0,,-1.0428151597520668e+18,3.4680908143557614e+20,0.0,-90.09033236695014,29783.0,0.0,2.5201737371484973e-20,-8.381317687132755e-18,0.0,,3131434237970.5737,0.001559966290726566,0.0,0.0002705291615443131,1.4391912291385473e-19,0.0,-7.567743065702062e-26,2.516797071300787e-23,0.0,,-1.5117510798971556e+18,3.5870979262072134e+20,0.0,-130.60238906626958,30805.0,0.0,3.3857378620845034e-20,-7.855640370736953e-18,0.0
86,653062.5,,-1.0677927719520658e+18,3.5506644051737556e+20,0.0,-90.09033236695014,29783.0,0.0,2.404654162624811e-20,-7.996021819498408e-18,0.0,,3206438650856.096,0.0015998784422255631,0.0,0.0002705291615443131,1.4396945885528075e-19,0.0,-7.220853307203255e-26,2.4010978999479156e-23,0.0,,-1.547960690193669e+18,3.672505019688338e+20,0.0,-130.60238906626958,30805.0,0.0,3.2305425438271236e-20,-7.494510268828794e-18,0.0
88,668250.0,,-1.0927703841520648e+18,3.63323799599175e+20,0.0,-90.09033236695014,29783.0,0.0,2.2968990089391865e-20,-7.636696431267706e-18,0.0,,3281443063741.6187,0.0016398040682368334,0.0,0.0002705291615443131,1.4401748081327972e-19,0.0,-6.897279061079766e-26,2.2931973145624657e-23,0.0,,-1.5841703004901827e+18,3.757912113169463e+20,0.0,-130.60238906626958,30805.0,0.0,3.085778377813045e-20,-7.157721779907709e-18,0.0
90,683437.5,,-1.1177479963520637e+18,3.715811586809744e+20,0.0,-90.09033236695014,29783.0,0.0,2.1962277294581272e-20,-7.301058883940291e-18,0.0,,3356447476627.141,0.0016797425596391934,0.0,0.0002705291615443131,1.4406334475957096e-19,0.0,-6.594976737244682e-26,2.1924098694774205e-23,0.0,,-1.6203799107866962e+18,3.8433192066505874e+20,0.0,-130.60238906626958,30805.0,0.0,2.950531079692344e-20,-6.843135432152204e-18,0.0
92,698625.0,,-1.1427256085520627e+18,3.798385177627738e+20,0.0,-90.09033236695014,29783.0,0.0,2.1020327372813405e-20,-6.987071924023293e-18,0.0,,3431451889512.6636,0.0017196933477041313,0.0,0.0002705291615443131,1.4410719295696053e-19,0.0,-6.3121218338854e-26,2.0981238048459666e-23,0.0,,-1.6565895210832097e+18,3.928726300131712e+20,0.0,-130.60238906626958,30805.0,0.0,2.8239843833342606e-20,-6.5488417482683596e-18,0.0
94,713812.5,,-1.1677032207520617e+18,3.880958768445732e+20,0.0,-90.09033236695014,29783.0,0.0,2.0137702164734797e-20,-6.69291269558906e-18,0.0,,3506456302398.186,0.001759655900601442,0.0,0.0002705291615443131,1.4414915543305747e-19,0.0,-6.047081344827355e-26,2.0097917415290056e-23,0.0,,-1.6927991313797233e+18,4.014133393612837e+20,0.0,-130.60238906626958,30805.0,0.0,2.7054076961129518e-20,-6.273132201568411e-18,0.0
96,729000.0,,-1.1926808329520607e+18,3.9635323592637265e+20,0.0,-90.09033236695014,29783.0,0.0,1.9309522556207945e-20,-6.4169462238797564e-18,0.0,,3581460715283.7085,0.001799629720274753,0.0,0.0002705291615443131,1.4418935126788805e-19,0.0,-5.798390137661759e-26,1.9269227185779393e-23,0.0,,-1.7290087416762368e+18,4.0995404870939614e+20,0.0,-130.60238906626958,30805.0,0.0,2.594145530680524e-20,-6.014474362674247e-18,0.0
